doc_id,source_path,author,title,work_group,char_count
Bacalbasa_1893.txt,ro-storiesAP/Bacalbasa_1893.txt,Bacalbasa,1893,Bacalbasa__1893,8915
Bacalbasa_1Mai.txt,ro-storiesAP/Bacalbasa_1Mai.txt,Bacalbasa,1Mai,Bacalbasa__1Mai,3203
Bacalbasa_300000Lei.txt,ro-storiesAP/Bacalbasa_300000Lei.txt,Bacalbasa,300000Lei,Bacalbasa__300000Lei,3595
Bacalbasa_AcelCeTace.txt,ro-storiesAP/Bacalbasa_AcelCeTace.txt,Bacalbasa,AcelCeTace,Bacalbasa__AcelCeTace,1735
Bacalbasa_Ajutor.txt,ro-storiesAP/Bacalbasa_Ajutor.txt,Bacalbasa,Ajutor,Bacalbasa__Ajutor,1761
Bacalbasa_AlexandruIii.txt,ro-storiesAP/Bacalbasa_AlexandruIii.txt,Bacalbasa,AlexandruIii,Bacalbasa__AlexandruIii,3262
Bacalbasa_AmintiriLiterareGenialulPatrascu.txt,ro-storiesAP/Bacalbasa_AmintiriLiterareGenialulPatrascu.txt,Bacalbasa,AmintiriLiterareGenialulPatrascu,Bacalbasa__AmintiriLiterareGenialulPatrascu,4920
Bacalbasa_AnulNou.txt,ro-storiesAP/Bacalbasa_AnulNou.txt,Bacalbasa,AnulNou,Bacalbasa__AnulNou,1897
Bacalbasa_Armonie.txt,ro-storiesAP/Bacalbasa_Armonie.txt,Bacalbasa,Armonie,Bacalbasa__Armonie,1126
Bacalbasa_Art262CodPenal.txt,ro-storiesAP/Bacalbasa_Art262CodPenal.txt,Bacalbasa,Art262CodPenal,Bacalbasa__Art262CodPenal,2663
Bacalbasa_ArtaIncurajata.txt,ro-storiesAP/Bacalbasa_ArtaIncurajata.txt,Bacalbasa,ArtaIncurajata,Bacalbasa__ArtaIncurajata,3318
Bacalbasa_ArtaNoastra.txt,ro-storiesAP/Bacalbasa_ArtaNoastra.txt,Bacalbasa,ArtaNoastra,Bacalbasa__ArtaNoastra,4736
Bacalbasa_ArtaPentruArta.txt,ro-storiesAP/Bacalbasa_ArtaPentruArta.txt,Bacalbasa,ArtaPentruArta,Bacalbasa__ArtaPentruArta,2838
Bacalbasa_AutoriiRascoalelor.txt,ro-storiesAP/Bacalbasa_AutoriiRascoalelor.txt,Bacalbasa,AutoriiRascoalelor,Bacalbasa__AutoriiRascoalelor,3068
Bacalbasa_BaiatulRomaniei.txt,ro-storiesAP/Bacalbasa_BaiatulRomaniei.txt,Bacalbasa,BaiatulRomaniei,Bacalbasa__BaiatulRomaniei,2594
Bacalbasa_BaietiiLuiBratianu.txt,ro-storiesAP/Bacalbasa_BaietiiLuiBratianu.txt,Bacalbasa,BaietiiLuiBratianu,Bacalbasa__BaietiiLuiBratianu,2209
Bacalbasa_BataiaInArmata.txt,ro-storiesAP/Bacalbasa_BataiaInArmata.txt,Bacalbasa,BataiaInArmata,Bacalbasa__BataiaInArmata,22980
Bacalbasa_BeneMerenti.txt,ro-storiesAP/Bacalbasa_BeneMerenti.txt,Bacalbasa,BeneMerenti,Bacalbasa__BeneMerenti,3993
Bacalbasa_CDobrogeanuGherea.txt,ro-storiesAP/Bacalbasa_CDobrogeanuGherea.txt,Bacalbasa,CDobrogeanuGherea,Bacalbasa__CDobrogeanuGherea,1823
Bacalbasa_Calm.txt,ro-storiesAP/Bacalbasa_Calm.txt,Bacalbasa,Calm,Bacalbasa__Calm,3587
Bacalbasa_CartileDidactice.txt,ro-storiesAP/Bacalbasa_CartileDidactice.txt,Bacalbasa,CartileDidactice,Bacalbasa__CartileDidactice,3328
Bacalbasa_CasaDeNebuni.txt,ro-storiesAP/Bacalbasa_CasaDeNebuni.txt,Bacalbasa,CasaDeNebuni,Bacalbasa__CasaDeNebuni,3421
Bacalbasa_CeEsteConstitutia.txt,ro-storiesAP/Bacalbasa_CeEsteConstitutia.txt,Bacalbasa,CeEsteConstitutia,Bacalbasa__CeEsteConstitutia,3641
Bacalbasa_CeFaceCaragiale.txt,ro-storiesAP/Bacalbasa_CeFaceCaragiale.txt,Bacalbasa,CeFaceCaragiale,Bacalbasa__CeFaceCaragiale,3650
Bacalbasa_ColegiulTaranesc.txt,ro-storiesAP/Bacalbasa_ColegiulTaranesc.txt,Bacalbasa,ColegiulTaranesc,Bacalbasa__ColegiulTaranesc,3886
Bacalbasa_ConvorbireCuGhereaDobrogeanu.txt,ro-storiesAP/Bacalbasa_ConvorbireCuGhereaDobrogeanu.txt,Bacalbasa,ConvorbireCuGhereaDobrogeanu,Bacalbasa__ConvorbireCuGhereaDobrogeanu,6416
Bacalbasa_DeNunta.txt,ro-storiesAP/Bacalbasa_DeNunta.txt,Bacalbasa,DeNunta,Bacalbasa__DeNunta,2572
Bacalbasa_DinCrimeleLuiTakeIonescu.txt,ro-storiesAP/Bacalbasa_DinCrimeleLuiTakeIonescu.txt,Bacalbasa,DinCrimeleLuiTakeIonescu,Bacalbasa__DinCrimeleLuiTakeIonescu,3596
Bacalbasa_DinGoanaVietei.txt,ro-storiesAP/Bacalbasa_DinGoanaVietei.txt,Bacalbasa,DinGoanaVietei,Bacalbasa__DinGoanaVietei,9815
Bacalbasa_DinViataMilitaracavalerulAmabil.txt,ro-storiesAP/Bacalbasa_DinViataMilitaracavalerulAmabil.txt,Bacalbasa,DinViataMilitaracavalerulAmabil,Bacalbasa__DinViataMilitaracavalerulAmabil,5630
Bacalbasa_DinViataMilitaracopilDeTrupa.txt,ro-storiesAP/Bacalbasa_DinViataMilitaracopilDeTrupa.txt,Bacalbasa,DinViataMilitaracopilDeTrupa,Bacalbasa__DinViataMilitaracopilDeTrupa,10283
Bacalbasa_DinViataMilitaradezertorul.txt,ro-storiesAP/Bacalbasa_DinViataMilitaradezertorul.txt,Bacalbasa,DinViataMilitaradezertorul,Bacalbasa__DinViataMilitaradezertorul,28761
Bacalbasa_DinViataMilitarafatme╠Ç.txt,ro-storiesAP/Bacalbasa_DinViataMilitarafatme╠Ç.txt,Bacalbasa,DinViataMilitarafatme╠Ç,Bacalbasa__DinViataMilitarafatme╠Ç,10829
Bacalbasa_DinViataMilitaramosul.txt,ro-storiesAP/Bacalbasa_DinViataMilitaramosul.txt,Bacalbasa,DinViataMilitaramosul,Bacalbasa__DinViataMilitaramosul,7163
Bacalbasa_DinViataMilitaranebunul.txt,ro-storiesAP/Bacalbasa_DinViataMilitaranebunul.txt,Bacalbasa,DinViataMilitaranebunul,Bacalbasa__DinViataMilitaranebunul,10085
Bacalbasa_DinViataMilitarapregatiriPentruSurprindere.txt,ro-storiesAP/Bacalbasa_DinViataMilitarapregatiriPentruSurprindere.txt,Bacalbasa,DinViataMilitarapregatiriPentruSurprindere,Bacalbasa__DinViataMilitarapregatiriPentruSurprindere,1462
Bacalbasa_DinViataMilitaraunSergentMajor.txt,ro-storiesAP/Bacalbasa_DinViataMilitaraunSergentMajor.txt,Bacalbasa,DinViataMilitaraunSergentMajor,Bacalbasa__DinViataMilitaraunSergentMajor,5490
Bacalbasa_DonMaiorFritz.txt,ro-storiesAP/Bacalbasa_DonMaiorFritz.txt,Bacalbasa,DonMaiorFritz,Bacalbasa__DonMaiorFritz,1070
Bacalbasa_DupaSerbari.txt,ro-storiesAP/Bacalbasa_DupaSerbari.txt,Bacalbasa,DupaSerbari,Bacalbasa__DupaSerbari,5201
Bacalbasa_EmblemaRegala.txt,ro-storiesAP/Bacalbasa_EmblemaRegala.txt,Bacalbasa,EmblemaRegala,Bacalbasa__EmblemaRegala,1287
Bacalbasa_FabricaDeCiocoi.txt,ro-storiesAP/Bacalbasa_FabricaDeCiocoi.txt,Bacalbasa,FabricaDeCiocoi,Bacalbasa__FabricaDeCiocoi,3828
Bacalbasa_Foametea.txt,ro-storiesAP/Bacalbasa_Foametea.txt,Bacalbasa,Foametea,Bacalbasa__Foametea,4760
Bacalbasa_FunctionariiComerciali.txt,ro-storiesAP/Bacalbasa_FunctionariiComerciali.txt,Bacalbasa,FunctionariiComerciali,Bacalbasa__FunctionariiComerciali,6449
Bacalbasa_FurtFaraEfractie.txt,ro-storiesAP/Bacalbasa_FurtFaraEfractie.txt,Bacalbasa,FurtFaraEfractie,Bacalbasa__FurtFaraEfractie,3703
Bacalbasa_GeografulGobjan.txt,ro-storiesAP/Bacalbasa_GeografulGobjan.txt,Bacalbasa,GeografulGobjan,Bacalbasa__GeografulGobjan,4544
Bacalbasa_Gramatica.txt,ro-storiesAP/Bacalbasa_Gramatica.txt,Bacalbasa,Gramatica,Bacalbasa__Gramatica,4278
Bacalbasa_GrevaAReusit.txt,ro-storiesAP/Bacalbasa_GrevaAReusit.txt,Bacalbasa,GrevaAReusit,Bacalbasa__GrevaAReusit,4102
Bacalbasa_HoleraMitropolitului.txt,ro-storiesAP/Bacalbasa_HoleraMitropolitului.txt,Bacalbasa,HoleraMitropolitului,Bacalbasa__HoleraMitropolitului,2109
Bacalbasa_ILCaragiale.txt,ro-storiesAP/Bacalbasa_ILCaragiale.txt,Bacalbasa,ILCaragiale,Bacalbasa__ILCaragiale,4910
Bacalbasa_ImpotrivaNationalismului.txt,ro-storiesAP/Bacalbasa_ImpotrivaNationalismului.txt,Bacalbasa,ImpotrivaNationalismului,Bacalbasa__ImpotrivaNationalismului,2310
Bacalbasa_Incepe.txt,ro-storiesAP/Bacalbasa_Incepe.txt,Bacalbasa,Incepe,Bacalbasa__Incepe,2401
Bacalbasa_Instigatorii.txt,ro-storiesAP/Bacalbasa_Instigatorii.txt,Bacalbasa,Instigatorii,Bacalbasa__Instigatorii,4099
Bacalbasa_Invataminte.txt,ro-storiesAP/Bacalbasa_Invataminte.txt,Bacalbasa,Invataminte,Bacalbasa__Invataminte,4303
Bacalbasa_IubireaInPoezie.txt,ro-storiesAP/Bacalbasa_IubireaInPoezie.txt,Bacalbasa,IubireaInPoezie,Bacalbasa__IubireaInPoezie,4551
Bacalbasa_Justitie.txt,ro-storiesAP/Bacalbasa_Justitie.txt,Bacalbasa,Justitie,Bacalbasa__Justitie,2917
Bacalbasa_LaStana.txt,ro-storiesAP/Bacalbasa_LaStana.txt,Bacalbasa,LaStana,Bacalbasa__LaStana,1542
Bacalbasa_LaVacarestiNuLaFilaret.txt,ro-storiesAP/Bacalbasa_LaVacarestiNuLaFilaret.txt,Bacalbasa,LaVacarestiNuLaFilaret,Bacalbasa__LaVacarestiNuLaFilaret,3167
Bacalbasa_Leone.txt,ro-storiesAP/Bacalbasa_Leone.txt,Bacalbasa,Leone,Bacalbasa__Leone,5484
Bacalbasa_LibertateSiRobie.txt,ro-storiesAP/Bacalbasa_LibertateSiRobie.txt,Bacalbasa,LibertateSiRobie,Bacalbasa__LibertateSiRobie,3815
Bacalbasa_MareleCapitan.txt,ro-storiesAP/Bacalbasa_MareleCapitan.txt,Bacalbasa,MareleCapitan,Bacalbasa__MareleCapitan,1117
Bacalbasa_MenageriaRegalaAlexandruLahovary.txt,ro-storiesAP/Bacalbasa_MenageriaRegalaAlexandruLahovary.txt,Bacalbasa,MenageriaRegalaAlexandruLahovary,Bacalbasa__MenageriaRegalaAlexandruLahovary,2571
Bacalbasa_MenageriaRegalaLascarCatargiu.txt,ro-storiesAP/Bacalbasa_MenageriaRegalaLascarCatargiu.txt,Bacalbasa,MenageriaRegalaLascarCatargiu,Bacalbasa__MenageriaRegalaLascarCatargiu,3098
