doc_id,author,work_group,masked_occurrences,original_char_count,masked_char_count,split
Bacalbasa_1893.txt,Bacalbasa,Bacalbasa__1893,0,8915,8915,train
Bacalbasa_1Mai.txt,Bacalbasa,Bacalbasa__1Mai,0,3203,3203,validation
Bacalbasa_300000Lei.txt,Bacalbasa,Bacalbasa__300000Lei,0,3595,3595,validation
Bacalbasa_AcelCeTace.txt,Bacalbasa,Bacalbasa__AcelCeTace,0,1735,1735,train
Bacalbasa_Ajutor.txt,Bacalbasa,Bacalbasa__Ajutor,0,1761,1761,train
Bacalbasa_AlexandruIii.txt,Bacalbasa,Bacalbasa__AlexandruIii,0,3262,3262,train
Bacalbasa_AmintiriLiterareGenialulPatrascu.txt,Bacalbasa,Bacalbasa__AmintiriLiterareGenialulPatrascu,0,4896,4896,train
Bacalbasa_AnulNou.txt,Bacalbasa,Bacalbasa__AnulNou,0,1897,1897,validation
Bacalbasa_Armonie.txt,Bacalbasa,Bacalbasa__Armonie,0,1126,1126,train
Bacalbasa_Art262CodPenal.txt,Bacalbasa,Bacalbasa__Art262CodPenal,0,2663,2663,test
Bacalbasa_ArtaIncurajata.txt,Bacalbasa,Bacalbasa__ArtaIncurajata,0,3314,3314,train
Bacalbasa_ArtaNoastra.txt,Bacalbasa,Bacalbasa__ArtaNoastra,0,4732,4732,train
Bacalbasa_ArtaPentruArta.txt,Bacalbasa,Bacalbasa__ArtaPentruArta,0,2836,2836,train
Bacalbasa_AutoriiRascoalelor.txt,Bacalbasa,Bacalbasa__AutoriiRascoalelor,0,3068,3068,train
Bacalbasa_BaiatulRomaniei.txt,Bacalbasa,Bacalbasa__BaiatulRomaniei,0,2594,2594,train
Bacalbasa_BaietiiLuiBratianu.txt,Bacalbasa,Bacalbasa__BaietiiLuiBratianu,0,2209,2209,train
Bacalbasa_BataiaInArmata.txt,Bacalbasa,Bacalbasa__BataiaInArmata,0,22980,22980,test
Bacalbasa_BeneMerenti.txt,Bacalbasa,Bacalbasa__BeneMerenti,0,3977,3977,train
Bacalbasa_CDobrogeanuGherea.txt,Bacalbasa,Bacalbasa__CDobrogeanuGherea,0,1821,1821,validation
Bacalbasa_Calm.txt,Bacalbasa,Bacalbasa__Calm,0,3581,3581,train
Bacalbasa_CartileDidactice.txt,Bacalbasa,Bacalbasa__CartileDidactice,0,3320,3320,train
Bacalbasa_CasaDeNebuni.txt,Bacalbasa,Bacalbasa__CasaDeNebuni,0,3419,3419,test
Bacalbasa_CeEsteConstitutia.txt,Bacalbasa,Bacalbasa__CeEsteConstitutia,0,3641,3641,train
Bacalbasa_CeFaceCaragiale.txt,Bacalbasa,Bacalbasa__CeFaceCaragiale,0,3644,3644,train
Bacalbasa_ColegiulTaranesc.txt,Bacalbasa,Bacalbasa__ColegiulTaranesc,0,3886,3886,train
Bacalbasa_ConvorbireCuGhereaDobrogeanu.txt,Bacalbasa,Bacalbasa__ConvorbireCuGhereaDobrogeanu,0,6396,6396,train
Bacalbasa_DeNunta.txt,Bacalbasa,Bacalbasa__DeNunta,0,2572,2572,validation
Bacalbasa_DinCrimeleLuiTakeIonescu.txt,Bacalbasa,Bacalbasa__DinCrimeleLuiTakeIonescu,0,3596,3596,train
Bacalbasa_DinGoanaVietei.txt,Bacalbasa,Bacalbasa__DinGoanaVietei,0,9781,9781,train
Bacalbasa_DinViataMilitaracavalerulAmabil.txt,Bacalbasa,Bacalbasa__DinViataMilitaracavalerulAmabil,0,5626,5626,train
Bacalbasa_DinViataMilitaracopilDeTrupa.txt,Bacalbasa,Bacalbasa__DinViataMilitaracopilDeTrupa,0,10253,10253,test
Bacalbasa_DinViataMilitaradezertorul.txt,Bacalbasa,Bacalbasa__DinViataMilitaradezertorul,0,28549,28549,train
Bacalbasa_DinViataMilitarafatme╠Ç.txt,Bacalbasa,Bacalbasa__DinViataMilitarafatme╠Ç,0,10813,10813,test
Bacalbasa_DinViataMilitaramosul.txt,Bacalbasa,Bacalbasa__DinViataMilitaramosul,0,7133,7133,train
Bacalbasa_DinViataMilitaranebunul.txt,Bacalbasa,Bacalbasa__DinViataMilitaranebunul,0,10051,10051,train
