doc_id,author,title,work_group,char_count,sha256,author_name_in_text_casefold
Bacalbasa_1893.txt,Bacalbasa,1893,Bacalbasa__1893,8915,b1c420ec86b990de841d7c7fe2b63a97ac73ae1005a91978a6a9e3889f641ec1,False
Bacalbasa_1Mai.txt,Bacalbasa,1Mai,Bacalbasa__1Mai,3203,70ce5c693a7ea3bca0ca8913699dca0bf885901283924d648517480aa1a53c5d,False
Bacalbasa_300000Lei.txt,Bacalbasa,300000Lei,Bacalbasa__300000Lei,3595,db4a455e5d085f76cec8bed6117bc0ea7415a89f82c59a31564cba57e8f34872,False
Bacalbasa_AcelCeTace.txt,Bacalbasa,AcelCeTace,Bacalbasa__AcelCeTace,1735,2f89255848e7f4f90a6a8980fbd51be19c36db9e807b26e4f538e6e259220e15,False
Bacalbasa_Ajutor.txt,Bacalbasa,Ajutor,Bacalbasa__Ajutor,1761,e5e105b08bb33baaf4f28099edf36da3b834e69bc4e42f2b271e5ee71878f033,False
Bacalbasa_AlexandruIii.txt,Bacalbasa,AlexandruIii,Bacalbasa__AlexandruIii,3262,191550cda048687f6d5c22eeb71ea4cff93b01322c7574dae19a9f030820d5a5,False
Bacalbasa_AmintiriLiterareGenialulPatrascu.txt,Bacalbasa,AmintiriLiterareGenialulPatrascu,Bacalbasa__AmintiriLiterareGenialulPatrascu,4920,b5bec9b2170650402f0f7017c491c5c1183b42d2db67dbafec3ccab70910f370,False
Bacalbasa_AnulNou.txt,Bacalbasa,AnulNou,Bacalbasa__AnulNou,1897,f47cf26b4010690a45ed2a6f4197479e509e5bfe1ebab72a7c2f260e416f5c52,False
Bacalbasa_Armonie.txt,Bacalbasa,Armonie,Bacalbasa__Armonie,1126,29401b0b47b51fa8fb4886aabc2ce288a764c0a72fce3b53e9c5ef4ba267a253,False
Bacalbasa_Art262CodPenal.txt,Bacalbasa,Art262CodPenal,Bacalbasa__Art262CodPenal,2663,4c1eea839b76d1791ac451749a5586bc38c855996da9cefb1db02a3f8d58a9d8,False
Bacalbasa_ArtaIncurajata.txt,Bacalbasa,ArtaIncurajata,Bacalbasa__ArtaIncurajata,3318,466c4916277cc69ac3a8ae00b9cdb9024a2cb3a88121f74b895b268d8310e5e0,False
Bacalbasa_ArtaNoastra.txt,Bacalbasa,ArtaNoastra,Bacalbasa__ArtaNoastra,4736,730fa00267354c62734fc3ee5c1296a637aedd8653a14d44a3c9e225317037eb,False
Bacalbasa_ArtaPentruArta.txt,Bacalbasa,ArtaPentruArta,Bacalbasa__ArtaPentruArta,2838,38d00ee325b27d9afb7afd05776f0fc4160e2f37328b94d513194292eef875da,False
Bacalbasa_AutoriiRascoalelor.txt,Bacalbasa,AutoriiRascoalelor,Bacalbasa__AutoriiRascoalelor,3068,c1eea4a68a624d24a090ff15e2044efb3f651b2f1cde6d6e165099e43557ff3e,False
Bacalbasa_BaiatulRomaniei.txt,Bacalbasa,BaiatulRomaniei,Bacalbasa__BaiatulRomaniei,2594,a39bc10c095918acbc53715c45d91902c88be3780eeeaca1263b5d024850c721,False
Bacalbasa_BaietiiLuiBratianu.txt,Bacalbasa,BaietiiLuiBratianu,Bacalbasa__BaietiiLuiBratianu,2209,6431c70567e5b0deed10ff78bf2c21e04b8fdb266c43aae07e604155ba1d8fb3,False
Bacalbasa_BataiaInArmata.txt,Bacalbasa,BataiaInArmata,Bacalbasa__BataiaInArmata,22980,0d4871423158ccdf225e4638ac60fc3a9122bcbc93c46102796116c493e803aa,False
Bacalbasa_BeneMerenti.txt,Bacalbasa,BeneMerenti,Bacalbasa__BeneMerenti,3993,102bd3e92160a86a7d9c3e4cf1957f4ae8bc6b3ff428f7232fd795c26cdc63fb,False
